E_A;j_0_ref;r_el;D_CL_ref;D_GDL_ref;f_CL
6.949843535066056e-06;5.974737212349298e-07;3.120227046988535e-05;6.369880672841085e-05;0.00012250430969895865;0.0011838745680714385
6.790522438166362e-06;5.859403513465381e-07;3.210275375938641e-05;6.609058050552517e-05;0.00012096612913818019;0.0012372760581805487
6.499136812656769e-06;5.725635307045479e-07;2.929904389666328e-05;6.166500488004036e-05;0.00011746187694617107;0.0011212999345294797
6.4920764060118096e-06;5.598014675707031e-07;2.9717674374617106e-05;6.113564147897018e-05;0.00011134139326661599;0.0011374433254059944
6.336835660332246e-06;5.481086080242575e-07;3.0333762794348142e-05;6.347292260964366e-05;0.00011184664667702229;0.0011736960748265522
6.194966868754572e-06;5.36308436874502e-07;2.884033920321585e-05;5.947660850410296e-05;0.00010292542464259314;0.0011122473972534446
6.019038181739945e-06;5.263309383623972e-07;2.6873614439538395e-05;5.5651030123480885e-05;0.0001005420398674888;0.0010328111453278325
5.948189880305316e-06;5.176670486574091e-07;2.5676951739064027e-05;5.3412430893315436e-05;9.988371796771759e-05;0.0009899500839164784
5.859092424962721e-06;5.058672018090783e-07;2.6762666980732714e-05;5.363924732273268e-05;9.543735633102041e-05;0.0010188824511638552
5.679318836932819e-06;4.956794226240824e-07;2.814865601829791e-05;5.582833132403863e-05;9.340031746503165e-05;0.0010678208869082332
5.650496521046819e-06;4.856377800396325e-07;2.562470430711314e-05;5.024941182810219e-05;8.618085011025131e-05;0.0009693854681010027
5.4969181536263046e-06;4.780091299917713e-07;2.4229249305215457e-05;4.8993518794823165e-05;8.661648475339796e-05;0.0009214448243661744
5.4467045188834795e-06;4.718197961198071e-07;2.4772880869890477e-05;5.18027467073401e-05;9.134732703874868e-05;0.0009573485230601251
5.332345507153554e-06;4.64378811633042e-07;2.5111979482803347e-05;5.2403133082118255e-05;9.292483402029644e-05;0.0009646505564380202
5.13905040657025e-06;4.539527148502768e-07;2.40859212336134e-05;4.836436307085697e-05;8.321059349613047e-05;0.0009157036601456266
5.13527787865247e-06;4.46937766052297e-07;2.3756009262726912e-05;4.714458256878268e-05;8.284511754937167e-05;0.000900916941816473
5.015797039836638e-06;4.382674175315504e-07;2.2184817292464306e-05;4.458986769837722e-05;7.667536343301551e-05;0.0008490357259106809
5.0220439792815986e-06;4.333534754102822e-07;2.2376519604580432e-05;4.5898477522362527e-05;8.202033208439288e-05;0.0008574911658918574
4.865331432191764e-06;4.2659226711019123e-07;2.2027502318830988e-05;4.487598928451819e-05;7.968021095815151e-05;0.0008428322913371793
4.8842947853813054e-06;4.211845208857049e-07;2.1308146434677318e-05;4.25201052757232e-05;7.877509763291429e-05;0.0008108201161159662
4.7852954023165335e-06;4.147463847173323e-07;2.1642116670394463e-05;4.481567118168293e-05;7.92686996516757e-05;0.0008361710807755804
4.643998356238712e-06;4.062059965809227e-07;2.1123553845101665e-05;4.2366527877839714e-05;7.305322541151795e-05;0.0008033379825510094
4.546754330656424e-06;3.9844076783717236e-07;1.993992133232966e-05;3.992640488858421e-05;6.649006612341556e-05;0.0007619861749745473
4.5037903135381e-06;3.9396540557540974e-07;2.0391918378510387e-05;4.2026953186529456e-05;7.074571578836101e-05;0.0007837611443602081
4.484681450492493e-06;3.873779958021567e-07;1.990991494614683e-05;3.9713569811451784e-05;6.571845112604366e-05;0.0007633915745436144
4.347921356169647e-06;3.835708635728185e-07;1.9982869004832628e-05;4.1390550918734794e-05;6.95273110851383e-05;0.0007727925697978964
4.317881995300761e-06;3.770963350914403e-07;1.9488207903347384e-05;3.914467108325193e-05;6.466649581457544e-05;0.0007493149555399343
4.239564397810244e-06;3.737754460691947e-07;1.9603693136527197e-05;3.9816740698665833e-05;6.848587798669244e-05;0.0007521266311639258
4.239868726797272e-06;3.6731129539661906e-07;1.8727636120343997e-05;3.768999206476548e-05;6.366072140675729e-05;0.0007191430247819934
4.185577489002173e-06;3.630495524164306e-07;1.9150726382925226e-05;3.848258138790356e-05;6.497134685444177e-05;0.0007334862116060288
4.073846972093444e-06;3.580541580128947e-07;1.81088282679873e-05;3.686554305548359e-05;6.335463393711687e-05;0.0006943112934452839
4.035229666683418e-06;3.5321237334693067e-07;1.7754945067293073e-05;3.6047966194269566e-05;6.229015889411186e-05;0.0006780634849048925
3.955938120954165e-06;3.465248996200108e-07;1.7866187860323148e-05;3.576100126682841e-05;5.650903550313699e-05;0.0006835833794833045
3.932549686117619e-06;3.45088775289503e-07;1.822754859170222e-05;3.740065589652097e-05;6.323599194135463e-05;0.0007033914298832087
3.885737350625088e-06;3.382443478003061e-07;1.7576618473314286e-05;3.490284370791974e-05;5.7464934502625745e-05;0.0006671723104158686
3.836010617318171e-06;3.349251945555276e-07;1.7442236583990327e-05;3.5389631602264965e-05;5.820023694349444e-05;0.0006703620271017612
3.7738628910400496e-06;3.3182851735329977e-07;1.6326523696290722e-05;3.339237003744441e-05;5.7613899541317e-05;0.0006275310107619144
