E_A;j_0_ref;r_el;D_CL_ref;D_GDL_ref;f_CL
1.907489916364849e-06;5.818397990401232e-08;1.9053406113647253e-05;6.139751337075093e-05;0.0001366096765648817;0.0008666521086568347
1.624547338793923e-06;5.346576002794464e-08;1.830542121415794e-05;4.9357658114316355e-05;0.0001230737261380382;0.0007682864369892116
1.2858759595135577e-06;5.411927805168735e-08;1.5267018238532e-05;4.360182213016957e-05;0.00012064999029111435;0.0006527647875355882
1.3645058754276877e-06;4.3764355230812605e-08;1.452970115111571e-05;4.272851610680301e-05;0.00010879649701202753;0.0005995575424978325
1.3253699009218108e-06;4.2256895339901857e-08;1.4006363753891603e-05;4.034798206553281e-05;0.00010244392905840445;0.0005776377280632842
1.3658101707321435e-06;4.375372993633514e-08;1.4282638917292604e-05;4.197416352983138e-05;0.00010796101218268001;0.0006068285143442948
1.1674069087121958e-06;3.8707864330695455e-08;1.3755717475422594e-05;3.817457433195467e-05;8.957402283288404e-05;0.0005878981282126828
1.2228997540331382e-06;3.7740677567871197e-08;1.1348382954152558e-05;3.46349670045677e-05;8.484654790579393e-05;0.00048075274186591677
1.0608462914199174e-06;4.0763383617825175e-08;1.2577847207984287e-05;4.1407325249334476e-05;9.556867832608979e-05;0.0005653048500747447
1.0043227210919679e-06;3.466671263089886e-08;1.2728259156847779e-05;3.590871052171927e-05;8.584600559970698e-05;0.0005554556271444442
1.0265469561471232e-06;3.268984431797609e-08;1.1354079160590695e-05;3.445922187052962e-05;7.819039017214724e-05;0.0005051484648590447
9.077877371367122e-07;3.458638382159863e-08;1.2201690807887975e-05;3.5804025698029863e-05;8.505204708049595e-05;0.0005390384821262257
6.813401946310885e-07;2.9225130771026762e-08;1.1646263025136883e-05;3.046288230657732e-05;7.247224203824576e-05;0.00048791544606847557
8.847244246300112e-07;3.057920633188031e-08;1.1165827126007873e-05;3.202665956074155e-05;7.422462530787065e-05;0.0004857289302112755
8.131936304996745e-07;3.4223329546523456e-08;9.958736078389459e-06;3.000825923231957e-05;8.07802658746496e-05;0.0004446420434879113
